date,totalDuration,inBedTime,outBedTime,sleepEfficiency,actualSleepDuration,wakeSleepTime,REMDuration,lightSleepDuration,deepSleepTime,inBedAwakePercentage,REMPercentage,lightSleepPercentage,deepSleepPercentage,sleepScore
2018-06-03 00:00:00,361,2018-06-02 23:19:00,2018-06-03 05:13:00,98.06094182825485,354,7,52.5,157.5,144,1.9390581717451523,14.542936288088642,43.62880886426593,39.88919667590028,71.40581717451524
2018-06-04 00:00:00,317,2018-06-03 22:14:00,2018-06-04 03:26:00,98.42271293375394,312,5,37.5,112.5,162,1.5772870662460567,11.829652996845425,35.488958990536275,51.10410094637224,62.35854889589905
2018-06-07 00:00:00,327,2018-06-06 23:02:00,2018-06-07 04:21:00,97.55351681957187,319,8,50.25,150.75,118,2.4464831804281344,15.36697247706422,46.10091743119266,36.08562691131498,66.27706422018349
2018-06-08 00:00:00,399,2018-06-07 22:31:00,2018-06-08 05:07:00,99.24812030075188,396,3,63.25,189.75,143,0.7518796992481203,15.852130325814537,47.556390977443606,35.83959899749373,82.2277694235589
2018-06-09 00:00:00,306,2018-06-09 00:04:00,2018-06-09 05:10:00,88.88888888888889,272,34,47.5,142.5,82,11.11111111111111,15.522875816993464,46.568627450980394,26.797385620915033,43.3597385620915
2018-06-11 00:00:00,444,2018-06-10 21:35:00,2018-06-11 04:49:00,97.74774774774775,434,10,68.75,206.25,159,2.2522522522522523,15.484234234234235,46.4527027027027,35.810810810810814,82.42950450450451
2018-06-13 00:00:00,477,2018-06-12 20:55:00,2018-06-13 04:31:00,95.59748427672956,456,21,81.0,243.0,132,4.40251572327044,16.9811320754717,50.943396226415096,27.67295597484277,77.77547169811321
2018-06-15 00:00:00,393,2018-06-14 21:53:00,2018-06-15 04:11:00,96.18320610687023,378,15,73.25,219.75,85,3.816793893129771,18.638676844783713,55.916030534351144,21.62849872773537,75.77027989821883
2018-06-18 00:00:00,502,2018-06-17 21:18:00,2018-06-18 05:40:00,99.60159362549801,500,2,78.0,234.0,188,0.398406374501992,15.53784860557769,46.613545816733065,37.45019920318725,87.299203187251
2018-06-19 00:00:00,175,2018-06-19 02:06:00,2018-06-19 04:46:00,91.42857142857143,160,15,31.75,95.25,33,8.571428571428571,18.142857142857142,54.42857142857143,18.857142857142858,51.74285714285715
2018-06-22 00:00:00,487,2018-06-21 20:52:00,2018-06-22 04:39:00,95.89322381930185,467,20,68.25,204.75,194,4.1067761806981515,14.014373716632443,42.04312114989733,39.83572895277207,74.51868583162218
2018-06-24 00:00:00,482,2018-06-23 23:02:00,2018-06-24 07:00:00,99.1701244813278,478,4,83.0,249.0,146,0.8298755186721992,17.219917012448132,51.6597510373444,30.29045643153527,88.28589211618257
2018-06-25 00:00:00,514,2018-06-24 20:23:00,2018-06-25 04:52:00,99.0272373540856,509,5,86.5,259.5,163,0.9727626459143969,16.828793774319067,50.4863813229572,31.71206225680934,87.17743190661479
2018-06-26 00:00:00,460,2018-06-25 21:04:00,2018-06-26 04:30:00,96.95652173913044,446,14,69.25,207.75,169,3.0434782608695654,15.054347826086957,45.16304347826087,36.73913043478261,79.47065217391304
2018-06-27 00:00:00,366,2018-06-26 23:34:00,2018-06-27 05:26:00,96.17486338797814,352,14,55.5,166.5,130,3.8251366120218577,15.163934426229508,45.49180327868852,35.51912568306011,67.69311475409836
2018-06-30 00:00:00,585,2018-06-29 21:56:00,2018-06-30 07:41:00,96.23931623931624,563,22,84.75,254.25,224,3.7606837606837606,14.487179487179487,43.46153846153846,38.29059829059829,73.93333333333334
2018-07-01 00:00:00,494,2018-06-30 21:22:00,2018-07-01 05:25:00,97.77327935222672,483,11,72.75,218.25,192,2.2267206477732793,14.726720647773279,44.18016194331984,38.8663967611336,80.84473684210526
2018-07-02 00:00:00,552,2018-07-01 21:56:00,2018-07-02 06:51:00,96.92028985507247,535,17,99.25,297.75,138,3.079710144927536,17.980072463768117,53.94021739130435,25.0,81.47409420289856
2018-07-03 00:00:00,450,2018-07-02 21:42:00,2018-07-03 05:00:00,97.33333333333333,438,12,72.5,217.5,148,2.6666666666666665,16.11111111111111,48.333333333333336,32.888888888888886,82.04444444444444
2018-07-04 00:00:00,403,2018-07-03 22:10:00,2018-07-04 04:34:00,95.28535980148884,384,19,63.75,191.25,129,4.714640198511166,15.818858560794045,47.45657568238214,32.00992555831265,70.66451612903225
2018-07-05 00:00:00,407,2018-07-04 21:40:00,2018-07-05 04:16:00,97.29729729729729,396,11,50.0,150.0,196,2.7027027027027026,12.285012285012286,36.85503685503686,48.157248157248155,72.79051597051597
2018-07-06 00:00:00,430,2018-07-05 22:05:00,2018-07-06 05:13:00,99.53488372093024,428,2,77.25,231.75,119,0.46511627906976744,17.96511627906977,53.895348837209305,27.674418604651162,90.4546511627907
2018-07-06 00:00:00,449,2018-07-05 22:05:00,2018-07-06 05:13:00,95.32293986636971,428,21,77.25,231.75,119,4.67706013363029,17.20489977728285,51.614699331848556,26.50334075723831,78.06636971046771
2018-07-07 00:00:00,424,2018-07-06 21:33:00,2018-07-07 04:23:00,96.69811320754717,410,14,70.75,212.25,127,3.30188679245283,16.68632075471698,50.05896226415094,29.952830188679247,78.95221698113207
2018-07-07 00:00:00,420,2018-07-06 21:33:00,2018-07-07 04:23:00,97.61904761904762,410,10,70.75,212.25,127,2.380952380952381,16.845238095238095,50.535714285714285,30.238095238095237,81.55880952380951
