date,lastSyncTime,deepSleepTime,shallowSleepTime,wakeTime,start,stop,
04/08/2018,1533406900,152,254,0,1533325020,1533349380,1
04/08/2018,1533406900,152,254,0,1533325020,1533349380,0
01/10/2018,1538416872,154,261,0,1538331840,1538356740,1
19/09/2018,1537381755,155,334,0,1537291140,1537320480,0
12/09/2018,1536811142,155,289,0,1536690540,1536717180,1
22/11/2018,1543045002,155,280,0,1542826920,1542853020,0
30/11/2018,1543672430,156,344,0,1543514040,1543544040,1
10/11/2018,1541873253,157,233,0,1541796420,1541819820,0
24/07/2018,1532461790,158,391,0,1532367300,1532400240,1
27/08/2018,1535394331,159,264,0,1535309340,1535334720,0
11/06/2018,1528740745,159,275,0,1528655700,1528681740,1
15/10/2018,1539626599,159,257,0,1539542220,1539567180,0
02/09/2018,1535912782,160,277,0,1535835720,1535861940,1
02/09/2018,1535912782,160,277,0,1535835720,1535861940,0
28/08/2018,1535480730,161,220,0,1535397300,1535420160,1
28/08/2018,1535480730,161,220,0,1535397300,1535420160,0
04/06/2018,1528307835,162,150,0,1528053240,1528071960,1
25/06/2018,1529950494,163,346,0,1529860980,1529891520,0
05/09/2018,1536172014,164,228,0,1536088980,1536112500,1
31/07/2018,1533061258,164,317,0,1532980260,1533009120,0
14/09/2018,1536951495,164,344,2,1536858600,1536889200,1
07/10/2018,1538935326,165,386,0,1538850000,1538883060,0
17/07/2018,1531851515,165,304,0,1531761900,1531790040,1
02/11/2018,1541214402,165,301,0,1541096040,1541124000,0
29/07/2018,1532888442,166,289,15,1532804160,1532832360,1
13/08/2018,1534184583,167,257,0,1534107000,1534132440,0
13/08/2018,1534184583,167,257,0,1534107000,1534132440,1
23/10/2018,1540317877,168,274,0,1540233600,1540260120,0
23/10/2018,1540317877,168,274,0,1540233600,1540260120,1
10/09/2018,1536636511,169,297,0,1536515340,1536543300,0
26/06/2018,1530036903,169,277,0,1529949840,1529976600,1
16/11/2018,1542391708,169,271,0,1542307500,1542333900,0
24/08/2018,1535135088,170,328,0,1535043000,1535072880,1
11/11/2018,1542101842,172,266,0,1541877120,1541903400,0
11/11/2018,1542101842,172,266,0,1541877120,1541903400,1
28/10/2018,1540749925,175,352,0,1540663260,1540694880,0
28/10/2018,1540749925,175,352,0,1540663260,1540694880,1
11/08/2018,1534045563,176,351,0,1533930180,1533961800,0
05/08/2018,1533493306,177,374,0,1533408000,1533441060,1
24/09/2018,1537813801,180,361,0,1537719240,1537751700,0
22/08/2018,1534964074,180,239,0,1534875360,1534900500,1
17/10/2018,1539799418,180,275,0,1539708900,1539736200,0
20/09/2018,1537468166,181,263,0,1537380300,1537406940,1
15/07/2018,1531678694,182,261,0,1531596240,1531622820,0
15/07/2018,1531678694,182,261,0,1531596240,1531622820,1
02/08/2018,1533234057,184,333,0,1533151200,1533182220,0
13/11/2018,1542132485,187,371,0,1542041700,1542075180,1
18/06/2018,1529345626,188,312,2,1529259480,1529289600,0
26/09/2018,1537984822,189,246,0,1537898400,1537924500,1
22/10/2018,1540231463,191,314,0,1540145940,1540176240,0
04/12/2018,1544010076,192,243,0,1543864380,1543890480,1
01/07/2018,1530468952,192,291,0,1530382920,1530411900,0
06/12/2018,1544238397,192,250,0,1544035500,1544062020,1
22/06/2018,1529690457,194,273,0,1529603520,1529631540,0
13/09/2018,1536865100,195,311,0,1536772440,1536802800,1
18/08/2018,1534616628,195,226,0,1534534500,1534559760,0
13/10/2018,1539453783,195,291,0,1539372360,1539401520,1
05/07/2018,1530814593,196,200,0,1530729600,1530753360,0
23/09/2018,1537753194,197,329,0,1537635240,1537666800,1
23/09/2018,1537753194,197,329,0,1537635240,1537666800,0
12/08/2018,1534098176,199,355,0,1534011720,1534044960,1
27/11/2018,1543342200,203,313,0,1543254960,1543285920,0
27/11/2018,1543342200,203,313,0,1543254960,1543285920,1
04/11/2018,1541354794,206,311,0,1541269140,1541300160,0
04/11/2018,1541354794,206,311,0,1541269140,1541300160,1
13/07/2018,1531505878,208,266,0,1531416300,1531444740,0
07/08/2018,1533666128,211,335,0,1533576840,1533609600,1
26/07/2018,1532629210,215,319,15,1532547600,1532580540,0
01/12/2018,1543748622,216,356,0,1543599420,1543633740,1
08/07/2018,1531106883,218,297,0,1530985920,1531016820,0
21/08/2018,1534875863,220,209,0,1534791360,1534817100,1
30/06/2018,1530382542,224,339,22,1530298560,1530333660,0
07/09/2018,1536344835,228,250,0,1536253440,1536282120,1
27/07/2018,1532789425,231,287,0,1532629080,1532660160,0
30/08/2018,1535653554,248,348,45,1535566800,1535605260,1
08/11/2018,1541700434,275,386,0,1541600040,1541639700,0
